Generic Name,Brand Name(s),Drug Class,Dosage Forms,Indication,Side Effects,Clinical Pearls

# Diuretics and Diuretic-Like Compounds (Loop / Thiazide / K+ sparing / Carbonic anhydrase inhibitor / Osmotic / Vasopressin antagonist / SGLT2 inhibitor)
Furosemide,Lasix,Loop Diuretic,,"HF, volume overload","decrease K+, decrease Na+, dehydration, hypotension, increase  uric acid (gout)",
Bumetanide,Bumex,Loop Diuretic,,"HF, volume overload","decrease K+, decrease Na+, dehydration, hypotension, increase  uric acid (gout)",
Torsemide,Demadex,Loop Diuretic,,"HF, volume overload","decrease K+, decrease Na+, dehydration, hypotension, increase  uric acid (gout)",
Ethacrynic acid,Edecrin,Loop Diuretic,,"HF, volume overload","decrease K+, decrease Na+, dehydration, hypotension, increase  uric acid (gout)",
Hydrochlorothiazide,HCTZ,Thiazide Diuretic,,"HTN (combo), HF adjunct, osteoporosis benefit","decrease K+, decrease Na+, dehydration, hypotension, increase  uric acid (gout)",
Chlorthalidone,,Thiazide Diuretic,,"HTN, HF adjunct","decrease K+, decrease Na+, dehydration, hypotension, increase  uric acid (gout)",
Indapamide,Lozol,Thiazide Diuretic,,HTN,"decrease K+, decrease Na+, dehydration, hypotension, increase  uric acid (gout)",
Metolazone,Zaroxolyn,Thiazide Diuretic,,Resistant edema (HF adjunct),"decrease K+, decrease Na+, dehydration, hypotension, increase  uric acid (gout)",
Spironolactone,Aldactone,Aldosterone antagonist (K+ sparing Diuretic),,"HF, HTN, CKD/diabetes, aldosteronism","increase K+, decrease Na+, gynecomastia",**Non-selective vs eplerenone**
Eplerenone,Inspra,Aldosterone antagonist (K+ sparing Diuretic),,"HF, HTN","increase K+, decrease Na+",
Finerenone,Kerendia,Aldosterone antagonist (K+ sparing Diuretic),,"CKD, diabetes","increase K+, decrease Na+",
Amiloride,,Na+ channel blocker (K+ sparing),,HTN (with thiazide),"increase K+, decrease Na+",
Triamterene,,Na+ channel blocker (K+ sparing),,HTN (with thiazide),"increase K+, decrease Na+",
Acetazolamide,Diamox,Carbonic anhydrase inhibitor,,"Glaucoma, altitude sickness, alkalosis","decrease Na+, decrease HCO3-, dehydration, increase  uric acid (gout)",
Dorzolamide,Trusopt,Carbonic anhydrase inhibitor,,Glaucoma,"decrease Na+, decrease HCO3-, dehydration",
Mannitol,,Osmotic diuretic,,"ICP, glaucoma, hyponatremia","Hypervolemia, dehydration, electrolyte imbalance, CNS effects",
Urea,Ure-Na,Osmotic diuretic,,"ICP, glaucoma, hyponatremia","Hypervolemia, dehydration, electrolyte imbalance, CNS effects",
Conivaptan,Vaprisol,Vasopressin antagonist,,"Hyponatremia, HF*","increase Na+, dehydration, hypotension",
Tolvaptan,Samsca,Vasopressin antagonist,,"Hyponatremia, HF*","increase Na+, dehydration, hypotension",**Hepatotoxicity risk**
Dapagliflozin,Farxiga,SGLT2 inhibitor,,"HF, DM, CKD","UTI, genital yeast infection, dehydration, hypoglycemia, rare DKA",
Empagliflozin,Jardiance,SGLT2 inhibitor,,"HF, DM, CKD","UTI, genital yeast infection, dehydration, hypoglycemia, rare DKA",
Sotagliflozin,Inpefa,SGLT2 inhibitor,,"HF, DM","UTI, genital yeast infection, dehydration, hypoglycemia, rare DKA",**Dual SGLT1/2 inhibition**

# RAAS Inhibitors (ACEi / ARB / ARNi / Direct renin inhibitor)
Captopril,Capoten,ACE inhibitor,,"HTN, HF, MI, CKD","increase K+, increase SCr, cough, hypotension, angioedema (rare)",
Benazepril,Lotensin,ACE inhibitor,,"HTN, HF, MI, CKD","increase K+, increase SCr, cough, hypotension, angioedema (rare)",
Enalapril,Vasotec,ACE inhibitor,,"HTN, HF, MI, CKD","increase K+, increase SCr, cough, hypotension, angioedema (rare)",**IV form (enalaprilat)**
Fosinopril,Monopril,ACE inhibitor,,"HTN, HF, MI, CKD","increase K+, increase SCr, cough, hypotension, angioedema (rare)",
